customer_id,name,gender,age,occupation,income,region,branch,balance,credit_score,customer_since,email,phone,is_active,risk_level,churn_score,clv_score,segment
,Customer Name 1,Female,72,Student,89724.88,East,Airport Road,114465.9,692,2020-01-15,cust1@email.com,+1-555-0001,1,High,0.0,0.0,Regular
,Customer Name 2,Male,71,Student,22528.57,North,City Center,36557.19,448,2024-03-15,cust2@email.com,+1-555-0002,1,Low,0.0,0.0,Regular
,Customer Name 3,Male,57,Unemployed,53041.65,East,Station Area,76651.36,622,2024-08-15,cust3@email.com,+1-555-0003,1,Medium,0.0,0.0,Regular
,Customer Name 4,Male,53,Professional,28082.02,West,Station Area,174478.8,747,2020-07-15,cust4@email.com,+1-555-0004,1,High,0.0,0.0,Regular
,Customer Name 5,Female,33,Retired,49751.94,South,Mall Road,105126.38,345,2020-08-15,cust5@email.com,+1-555-0005,1,High,0.0,0.0,Regular
CUST98006,Customer Name 1,Female,59,Student,16997.22,Central,Station Area,185489.18,781,2024-04-15,cust6@email.com,+1-555-0006,1,Medium,0.0,0.0,Regular
CUST98007,Customer Name 1,Female,60,Student,54535.77,North,Mall Road,110010.53,699,2021-06-15,cust7@email.com,+1-555-0007,1,High,0.0,0.0,Regular
CUST98008,Customer Name 1,Female,57,Government,54083.79,South,Tech Park,37028.82,492,2022-12-15,cust8@email.com,+1-555-0008,1,Medium,0.0,0.0,Regular
CUST98009,Customer Name 1,Male,68,Student,76156.41,South,Airport Road,121025.32,707,2020-01-15,cust9@email.com,+1-555-0009,1,Low,0.0,0.0,Regular
CUST98010,Customer Name 1,Female,78,Retired,132177.92,West,Mall Road,186429.72,549,2020-08-15,cust10@email.com,+1-555-0010,1,Medium,0.0,0.0,Regular
CUST98011,Customer Name 11,Female,24,Government,27593.34,North,Airport Road,67526.52,577,2020-10-15,cust11@email.com,+1-555-0011,1,Low,0.0,0.0,Regular
CUST98011,Customer Name 12,Male,48,Professional,34415.94,East,City Center,188417.6,396,2021-03-15,cust12@email.com,+1-555-0012,1,Medium,0.0,0.0,Regular
CUST98011,Customer Name 13,Male,53,Self-Employed,34466.0,East,Airport Road,189132.46,303,2022-09-15,cust13@email.com,+1-555-0013,1,High,0.0,0.0,Regular
CUST98011,Customer Name 14,Male,65,Retired,128592.85,North,Mall Road,124210.77,797,2022-05-15,cust14@email.com,+1-555-0014,1,Medium,0.0,0.0,Regular
CUST981001,Customer Name 15,Male,77,Self-Employed,40896.14,Central,Airport Road,41531.5,482,2023-07-15,cust15@email.com,+1-555-0015,1,High,0.0,0.0,Regular
CUST981002,Customer Name 16,Male,38,Student,53891.1,East,Station Area,141981.22,794,2022-04-15,cust16@email.com,+1-555-0016,1,Low,0.0,0.0,Regular
CUST98017,Customer Name 17,Male,invalid_value,Unemployed,81381.27,Central,Tech Park,178300.3,374,2021-07-15,cust17@email.com,+1-555-0017,1,Medium,0.0,0.0,Regular
