card_number,customer_id,card_type,card_limit,outstanding_amount,status,issued_date,expiry_date
,CUST98106,Visa Gold,47910.41,926.3,Active,2025-01-15,2030-01-15
,CUST98470,Mastercard Standard,35796.9,2717.94,Active,2025-01-15,2030-01-15
,CUST98686,Visa Gold,48224.09,7742.97,Active,2025-01-15,2030-01-15
,CUST98185,Visa Platinum,19267.42,1608.16,Active,2025-01-15,2030-01-15
,CUST98318,Visa Platinum,12806.34,1888.79,Active,2025-01-15,2030-01-15
CARD98006,CUST98457,Mastercard Standard,27823.44,928.23,Active,2025-01-15,2030-01-15
CARD98007,CUST98432,Mastercard Standard,35769.99,8968.41,Active,2025-01-15,2030-01-15
CARD98008,CUST98913,Mastercard Standard,28080.07,4592.89,Active,2025-01-15,2030-01-15
CARD98009,CUST98646,Mastercard Standard,23025.49,735.26,Active,2025-01-15,2030-01-15
CARD98010,CUST98144,Mastercard Standard,21634.15,2793.38,Active,2025-01-15,2030-01-15
CARD98011,CUST98520,Amex Elite,26280.12,286.18,Active,2025-01-15,2030-01-15
CARD98011,CUST98208,Amex Elite,21895.24,4799.82,Active,2025-01-15,2030-01-15
CARD98011,CUST98125,Visa Gold,35072.36,1147.85,Active,2025-01-15,2030-01-15
CARD98011,CUST98904,Visa Gold,8581.7,212.2,Active,2025-01-15,2030-01-15
CARD981001,CUST98828,Visa Platinum,8274.13,8545.93,Active,2025-01-15,2030-01-15
CARD981002,CUST98477,Mastercard Standard,31221.16,87.07,Active,2025-01-15,2030-01-15
CARD98017,CUST98539,Mastercard Standard,invalid_value,5278.74,Active,2025-01-15,2030-01-15
CARD98018,CUST98934,Visa Platinum,invalid_value,5278.74,Active,2025-01-15,2030-01-15
CARD98019,CUST98338,Visa Platinum,invalid_value,5278.74,Active,2025-01-15,2030-01-15
CARD98020,CUST98862,Visa Gold,invalid_value,5278.74,Active,2025-01-15,2030-01-15
CARD98021,CUST98920,Amex Elite,23903.06,5278.74,Active,2025-01-15,2030-01-15
CARD98022,CUST98179,Visa Platinum,7070.09,5278.74,Active,2025-01-15,2030-01-15
CARD98023,CUST98627,Visa Gold,18889.52,3577.73,Active,2025-01-15,2030-01-15
CARD98024,CUST98817,Visa Platinum,16155.76,2840.82,Active,2025-01-15,2030-01-15
CARD98025,CUST98493,Mastercard Standard,26184.44,4631.88,Active,2025-01-15,2030-01-15
CARD98026,CUST98658,Mastercard Standard,29489.29,3976.1,Active,2025-01-15,2030-01-15
CARD98027,CUST98474,Amex Elite,21850.36,2021.12,Active,2025-01-15,2030-01-15
CARD98028,CUST98191,Visa Gold,19024.76,745.39,Active,2025-01-15,2030-01-15
CARD98029,CUST98620,Amex Elite,41041.9,6609.09,Active,2025-01-15,2030-01-15
CARD98030,CUST98336,Visa Gold,26074.45,1376.42,Active,2025-01-15,2030-01-15
CARD98031,CUST98701,Visa Platinum,24013.49,5538.9,Active,2025-01-15,2030-01-15
CARD98032,CUST98244,Amex Elite,6884.28,3916.3,Active,2025-01-15,2030-01-15
CARD98033,CUST98031,Mastercard Standard,1674.28,5260.65,Active,2025-01-15,2030-01-15
CARD98034,CUST98387,Amex Elite,46882.18,5674.61,Active,2025-01-15,2030-01-15
CARD98035,CUST98620,Visa Gold,48223.51,795.7,Active,2025-01-15,2030-01-15
CARD98036,CUST98925,Mastercard Standard,10695.25,1884.6,Active,2025-01-15,2030-01-15
CARD98037,CUST98563,Visa Platinum,35628.9,681.4,Active,2025-01-15,2030-01-15
CARD98038,CUST98735,Mastercard Standard,22567.47,8353.23,Active,2025-01-15,2030-01-15
CARD98039,CUST98334,Mastercard Standard,48428.38,349.57,Active,2025-01-15,2030-01-15
CARD98040,CUST98608,Visa Platinum,13470.69,3616.64,Active,2025-01-15,2030-01-15
CARD98041,CUST98127,Mastercard Standard,5097.26,6165.78,Active,2025-01-15,2030-01-15
CARD98042,CUST98545,Visa Platinum,33436.94,1115.45,Active,2025-01-15,2030-01-15
CARD98043,CUST98082,Visa Platinum,49317.02,6100.66,Active,2025-01-15,2030-01-15
CARD98044,CUST98589,Visa Platinum,34189.52,7757.26,Active,2025-01-15,2030-01-15
CARD98045,CUST98087,Mastercard Standard,36744.06,1286.25,Active,2025-01-15,2030-01-15
CARD98046,CUST98277,Mastercard Standard,49231.4,773.19,Active,2025-01-15,2030-01-15
CARD98047,CUST98170,Visa Platinum,14636.17,9762.28,Active,2025-01-15,2030-01-15
CARD98048,CUST98891,Visa Platinum,34645.92,8743.27,Active,2025-01-15,2030-01-15
CARD98049,CUST98517,Visa Gold,48028.31,2433.82,Active,2025-01-15,2030-01-15
