transaction_id,customer_id,account_number,amount,date,type,channel,merchant,description,is_fraud
,CUST98095,ACC98362,329.31,2025-06-29,Debit,Branch,Standard Merchant,General purchase,0
,CUST98007,ACC98278,3922.15,2025-06-03,Transfer,Online,Standard Merchant,General purchase,0
,CUST98444,ACC98538,609.78,2025-06-29,Debit,ATM,Standard Merchant,General purchase,0
,CUST98951,ACC98815,3307.09,2025-06-01,Debit,Branch,Standard Merchant,General purchase,0
,CUST98242,ACC98064,3600.9,2025-06-11,Debit,POS,Standard Merchant,General purchase,0
TXN98006,CUST98466,ACC98905,invalid_value,2025-06-25,Debit,ATM,Standard Merchant,General purchase,0
TXN98007,CUST98823,ACC98908,invalid_value,2025-06-06,Debit,POS,Standard Merchant,General purchase,0
TXN98008,CUST98147,ACC98772,invalid_value,2025-06-02,Debit,POS,Standard Merchant,General purchase,0
TXN98009,CUST98029,ACC98263,invalid_value,2025-06-24,Transfer,ATM,Standard Merchant,General purchase,0
TXN98010,CUST98781,ACC98060,2485.45,2025-06-24,Debit,ATM,Standard Merchant,General purchase,0
TRA98011,CUST98884,ACC98259,263.75,2025-06-08,Debit,ATM,Standard Merchant,General purchase,0
TRA98011,CUST98713,ACC98656,2050.01,2025-06-06,Transfer,Online,Standard Merchant,General purchase,0
TRA98011,CUST98201,ACC98804,2604.59,2025-06-06,Credit,Branch,Standard Merchant,General purchase,0
TRA98011,CUST98867,ACC98238,3270.9,2025-06-17,Credit,POS,Standard Merchant,General purchase,0
TXN98011,CUST98675,ACC98749,2122.66,2025-06-22,Transfer,ATM,Standard Merchant,General purchase,0
TRA98500,CUST98631,ACC98272,4361.88,2025-06-21,Credit,Online,Standard Merchant,General purchase,0
TXN98017,CUST98624,ACC98011,2485.45,2025-06-06,Credit,Online,Standard Merchant,General purchase,0
TXN98018,CUST98140,ACC98373,2485.45,2025-06-03,Debit,Online,Standard Merchant,General purchase,0
TXN98019,CUST98384,ACC98589,2485.45,2025-06-17,Credit,Branch,Standard Merchant,General purchase,0
TXN98020,CUST98735,ACC98759,2485.45,2025-06-04,Transfer,ATM,Standard Merchant,General purchase,0
TXN98021,CUST98305,ACC98725,2485.45,2025-06-29,Credit,Branch,Standard Merchant,General purchase,0
TXN98022,CUST98060,ACC98962,2485.45,2025-06-19,Debit,ATM,Standard Merchant,General purchase,0
TXN98023,CUST98490,ACC98415,395.0,2025-06-20,Debit,Online,Standard Merchant,General purchase,0
TXN98024,CUST98478,ACC98716,3088.45,2025-06-18,Debit,Branch,Standard Merchant,General purchase,0
TXN98025,CUST98036,ACC98619,1432.62,2025-06-19,Credit,ATM,Standard Merchant,General purchase,0
TXN98026,CUST98453,ACC98479,1854.43,2025-06-09,Credit,Online,Standard Merchant,General purchase,0
TXN98027,CUST98818,ACC98570,1431.02,2025-06-05,Transfer,Branch,Standard Merchant,General purchase,0
TXN98028,CUST98860,ACC98765,954.36,2025-06-08,Debit,POS,Standard Merchant,General purchase,0
TXN98029,CUST98659,ACC98783,3282.93,2025-06-30,Transfer,ATM,Standard Merchant,General purchase,0
TXN98030,CUST98519,ACC98227,839.33,2025-06-15,Credit,ATM,Standard Merchant,General purchase,0
TXN98031,CUST98039,ACC98039,3292.68,2025-06-16,Debit,ATM,Standard Merchant,General purchase,0
TXN98032,CUST98350,ACC98933,4071.35,2025-06-02,Transfer,POS,Standard Merchant,General purchase,0
TXN98033,CUST98954,ACC98899,3992.89,2025-06-20,Debit,Branch,Standard Merchant,General purchase,0
TXN98034,CUST98669,ACC98792,3652.87,2025-06-18,Credit,Online,Standard Merchant,General purchase,0
TXN98035,CUST98433,ACC98719,2975.38,2025-06-19,Transfer,ATM,Standard Merchant,General purchase,0
TXN98036,CUST98320,ACC98764,3478.83,2025-06-28,Transfer,POS,Standard Merchant,General purchase,0
TXN98037,CUST98092,ACC98488,199.1,2025-06-23,Transfer,ATM,Standard Merchant,General purchase,0
TXN98038,CUST98878,ACC98564,733.71,2025-06-11,Credit,POS,Standard Merchant,General purchase,0
TXN98039,CUST98225,ACC98959,3613.26,2025-06-01,Credit,POS,Standard Merchant,General purchase,0
TXN98040,CUST98256,ACC98443,4424.23,2025-06-14,Transfer,Online,Standard Merchant,General purchase,0
TXN98041,CUST98522,ACC98439,2849.67,2025-06-20,Credit,Online,Standard Merchant,General purchase,0
TXN98042,CUST98140,ACC98698,286.19,2025-06-01,Debit,Branch,Standard Merchant,General purchase,0
TXN98043,CUST98663,ACC98051,4548.96,2025-06-11,Credit,ATM,Standard Merchant,General purchase,0
TXN98044,CUST98524,ACC98069,581.38,2025-06-26,Transfer,ATM,Standard Merchant,General purchase,0
TXN98045,CUST98817,ACC98501,3167.24,2025-06-07,Transfer,Online,Standard Merchant,General purchase,0
TXN98046,CUST98182,ACC98639,2074.67,2025-06-30,Credit,Online,Standard Merchant,General purchase,0
TXN98047,CUST98974,ACC98324,1963.85,2025-06-24,Transfer,Online,Standard Merchant,General purchase,0
TXN98048,CUST98855,ACC98793,1885.94,2025-06-02,Credit,Branch,Standard Merchant,General purchase,0
TXN98049,CUST98341,ACC98896,1261.15,2025-06-26,Debit,ATM,Standard Merchant,General purchase,0
TXN98050,CUST98430,ACC98852,4349.36,2025-06-07,Debit,ATM,Standard Merchant,General purchase,0
TXN98051,CUST98292,ACC98235,3856.77,2025-06-06,Credit,Branch,Standard Merchant,General purchase,0
TXN98052,CUST98071,ACC98601,2685.42,2025-06-05,Debit,Online,Standard Merchant,General purchase,0
TXN98053,CUST98311,ACC98678,2287.13,2025-06-08,Credit,Online,Standard Merchant,General purchase,0
TXN98054,CUST98651,ACC98827,4745.51,2025-06-23,Debit,POS,Standard Merchant,General purchase,0
TXN98055,CUST98953,ACC98262,1822.27,2025-06-10,Credit,ATM,Standard Merchant,General purchase,0
TXN98056,CUST98893,ACC98041,2281.09,2025-06-16,Credit,POS,Standard Merchant,General purchase,0
TXN98057,CUST98406,ACC98900,4078.37,2025-06-29,Transfer,Branch,Standard Merchant,General purchase,0
TXN98058,CUST98406,ACC98038,4985.6,2025-06-06,Debit,ATM,Standard Merchant,General purchase,0
TXN98059,CUST98186,ACC98527,4610.16,2025-06-06,Transfer,Branch,Standard Merchant,General purchase,0
TXN98060,CUST98095,ACC98374,2420.8,2025-06-23,Credit,Branch,Standard Merchant,General purchase,0
TXN98061,CUST98324,ACC98849,4150.7,2025-06-07,Transfer,POS,Standard Merchant,General purchase,0
TXN98062,CUST98513,ACC98583,687.22,2025-06-11,Credit,Branch,Standard Merchant,General purchase,0
TXN98063,CUST98690,ACC98023,3782.91,2025-06-02,Debit,POS,Standard Merchant,General purchase,0
TXN98064,CUST98462,ACC98114,2672.25,2025-06-23,Transfer,Online,Standard Merchant,General purchase,0
TXN98065,CUST98392,ACC98473,1351.22,2025-06-02,Credit,POS,Standard Merchant,General purchase,0
TXN98066,CUST98628,ACC98545,406.55,2025-06-17,Transfer,ATM,Standard Merchant,General purchase,0
TXN98067,CUST98920,ACC98630,1207.63,2025-06-18,Transfer,POS,Standard Merchant,General purchase,0
TXN98068,CUST98089,ACC98093,2639.79,2025-06-04,Transfer,Branch,Standard Merchant,General purchase,0
TXN98069,CUST98133,ACC98492,4463.67,2025-06-29,Debit,POS,Standard Merchant,General purchase,0
TXN98070,CUST98931,ACC98691,2259.4,2025-06-15,Credit,ATM,Standard Merchant,General purchase,0
TXN98071,CUST98897,ACC98227,557.89,2025-06-26,Debit,ATM,Standard Merchant,General purchase,0
TXN98072,CUST98247,ACC98306,630.09,2025-06-05,Transfer,Branch,Standard Merchant,General purchase,0
TXN98073,CUST98661,ACC98627,1680.24,2025-06-18,Transfer,Branch,Standard Merchant,General purchase,0
TXN98074,CUST98968,ACC98112,554.27,2025-06-07,Transfer,Branch,Standard Merchant,General purchase,0
TXN98075,CUST98827,ACC98987,1445.54,2025-06-26,Debit,POS,Standard Merchant,General purchase,0
TXN98076,CUST98951,ACC98763,2508.74,2025-06-06,Transfer,Online,Standard Merchant,General purchase,0
TXN98077,CUST98161,ACC98093,3500.51,2025-06-01,Credit,Branch,Standard Merchant,General purchase,0
TXN98078,CUST98539,ACC98485,4246.17,2025-06-09,Debit,Online,Standard Merchant,General purchase,0
TXN98079,CUST98300,ACC98483,2462.63,2025-06-24,Credit,ATM,Standard Merchant,General purchase,0
TXN98080,CUST98700,ACC98890,4921.6,2025-06-28,Transfer,Online,Standard Merchant,General purchase,0
TXN98081,CUST98639,ACC98839,2628.62,2025-06-09,Credit,ATM,Standard Merchant,General purchase,0
TXN98082,CUST98533,ACC98409,2565.81,2025-06-19,Credit,Branch,Standard Merchant,General purchase,0
TXN98083,CUST98098,ACC98177,984.67,2025-06-25,Debit,POS,Standard Merchant,General purchase,0
TXN98084,CUST98358,ACC98337,4286.58,2025-06-20,Transfer,Online,Standard Merchant,General purchase,0
TXN98085,CUST98533,ACC98640,1728.48,2025-06-01,Transfer,Online,Standard Merchant,General purchase,0
TXN98086,CUST98336,ACC98277,4164.13,2025-06-03,Transfer,POS,Standard Merchant,General purchase,0
